epoch,MAE_PSA,RMSE_PSA
0,4.3947,4.3947
1,6.7688,6.7688
2,7.3811,7.3811
3,7.5504,7.5504
4,3.0323,3.0323
5,1.2383,1.2383
6,2.2422,2.2422
7,1.5119,1.5119
8,3.9788,3.9788
9,2.112,2.112
10,1.891,1.891
11,1.6312,1.6312
12,3.8818,3.8818
13,1.7799,1.7799
14,3.9156,3.9156
15,4.9913,4.9913
16,3.7492,3.7492
17,1.3617,1.3617
18,4.2205,4.2205
19,2.3404,2.3404
20,2.976,2.976
21,3.3839,3.3839
22,3.563,3.563
23,3.5789,3.5789
24,1.7871,1.7871
25,2.2241,2.2241
26,2.9108,2.9108
27,2.0676,2.0676
28,1.5876,1.5876
29,2.3975,2.3975
30,5.7632,5.7632
31,1.0313,1.0313
32,1.7383,1.7383
33,6.7083,6.7083
34,3.3969,3.3969
35,9.4769,9.4769
36,1.9636,1.9636
37,1.5024,1.5024
38,2.7146,2.7146
39,2.304,2.304
40,3.146,3.146
41,6.1428,6.1428
42,5.3503,5.3503
43,10.2767,10.2767
44,4.4307,4.4307
45,9.8371,9.8371
46,7.5627,7.5627
47,1.5923,1.5923
48,9.3631,9.3631
49,11.6189,11.6189
50,4.8745,4.8745
51,12.8732,12.8732
52,2.8723,2.8723
53,2.2078,2.2078
54,1.3071,1.3071
55,6.1757,6.1757
56,18.319,18.319
57,12.1077,12.1077
58,1.9744,1.9744
59,11.8641,11.8641
60,8.7745,8.7745
61,9.0032,9.0032
62,6.7554,6.7554
63,5.0082,5.0082
64,6.8663,6.8663
65,3.6783,3.6783
66,14.5124,14.5124
67,6.9561,6.9561
68,14.0449,14.0449
69,8.8395,8.8395
70,9.0384,9.0384
71,1.8863,1.8863
72,0.9716,0.9716
73,1.0109,1.0109
74,1.2218,1.2218
75,5.963,5.963
76,7.4898,7.4898
77,1.1329,1.1329
78,11.329,11.329
79,1.2798,1.2798
80,11.0078,11.0078
81,4.5235,4.5235
82,8.0251,8.0251
83,1.7912,1.7912
84,6.5813,6.5813
85,5.6866,5.6866
86,3.4554,3.4554
87,3.1286,3.1286
88,1.787,1.787
89,8.8648,8.8648
90,5.7773,5.7773
91,4.0532,4.0532
92,1.3017,1.3017
93,1.4001,1.4001
94,1.5621,1.5621
95,6.7996,6.7996
96,5.6092,5.6092
97,1.3909,1.3909
98,5.3723,5.3723
99,3.4089,3.4089
